240701  1+ 1+ 2- 1+  2- 2- 1o 0+   10+      5 0.2
240702  1o 1+ 1- 1-  1+ 1- 1o 1+    8o Q5   4 0.1
240703  1+ 1o 1+ 1-  1+ 1- 1o 1+    9- Q6   4 0.1
240704  2- 2o 1o 1+  2o 3o 3o 3-   17-      9 0.5
240705  2- 3- 1+ 2o  3o 2+ 1- 0+   14o      7 0.4
240706  1o 1- 0+ 0+  0+ 0+ 0+ 1-    4o Q1   2 0.0
240707  2- 1+ 1o 0+  2- 1+ 3- 3-   13-      6 0.3
240708  2- 2- 2o 3o  3+ 2+ 2o 2+   18+ D5* 10 0.5
240709  2- 2- 1- 2-  2+ 1o 1+ 2-   12o      6 0.3
240710  2- 1o 1+ 1o  1o 1o 1o 1+    9+ Q9   4 0.2
240711  2o 1+ 1+ 1-  2- 1+ 2- 2o   12o      6 0.2
240712  2o 2- 2- 1+  1o 1o 1- 1-   10o      5 0.2
240713  1- 1o 0+ 0+  1o 1o 1+ 0+    6o Q2   3 0.1
240714  1+ 1o 1o 1+  1+ 1- 1o 1+    9o Q8   4 0.2
240715  1o 1o 1+ 1-  1o 1o 2o 3o   11o      6 0.3
240716  3+ 2o 2o 1o  2- 3- 2o 2o   17-      8 0.5
240717  1- 1+ 2- 1o  2+ 1+ 1o 1-   10o      5 0.2
240718  0+ 1- 1o 1+  1o 1o 1+ 0+    7o Q4   4 0.1
240719  0+ 1o 1o 1-  1o 1o 1+ 1-    7o Q3   4 0.1
240720  2- 2- 2o 1+  1o 2- 3- 1o   13o      6 0.3
240721  1o 0+ 0+ 0+  1+ 1+ 2- 2-    8o Q7   4 0.1
240722  2- 1+ 2- 3o  2+ 1+ 2+ 2-   15+      8 0.4
240723  0+ 0+ 0+ 1-  1o 1o 3- 2-    8o Q0   4 0.2
240724  2- 1+ 1+ 1o  1+ 1- 1- 2-   10-      5 0.2
240725  1- 1+ 1- 1o  2o 3- 3o 3+   15-      8 0.5
240726  4o 5o 4o 2+  4- 4+ 3o 3-   29o D1  24 1.2
240727  1o 2+ 2+ 3-  4o 3- 1o 1+   17+ D4* 10 0.6
240728  1+ 1o 2- 1+  2o 1+ 3- 2+   14-      7 0.3
240729  2o 2- 1o 2-  1+ 1+ 2- 2-   12+      6 0.3
240730  4o 5+ 4o 4-  3o 3+ 1+ 2o   27- D2  22 1.1
240731  1+ 1o 1+ 1o  3- 4o 5- 4-   20- D3* 15 0.8
2407                                  Mean  7 0.34

2407 Q  6  13  19  18   2   3  21  14  10  23 
2407 D 26  30  31* 27*  8*
