date,kp_00_03,kp_03_06,kp_06_09,kp_09_12,kp_12_15,kp_15_18,kp_18_21,kp_21_24,kp_sum,flag,daily_sum,kp_mean
2024-12-01,1.7,1.0,2.3,1.0,1.0,1.7,2.0,3.3,12o,,6,0.3
2024-12-02,2.7,2.0,1.3,0.0,1.0,1.3,2.3,2.0,10+,,5,0.2
2024-12-03,3.7,3.3,2.0,2.3,2.7,3.0,3.7,2.3,20o,,11,0.7
2024-12-04,1.7,2.3,1.0,2.0,2.0,1.7,2.0,2.3,13o,,6,0.3
2024-12-05,2.3,2.7,1.0,1.0,1.3,1.3,1.3,1.3,9-,Q7,4,0.2
2024-12-06,1.7,2.7,1.0,0.7,1.3,1.0,1.0,1.0,9-,Q6,4,0.2
2024-12-07,1.3,1.7,1.0,2.3,1.0,1.7,2.3,2.3,10+,Q8,5,0.2
2024-12-08,0.7,1.7,1.7,1.7,2.7,2.3,2.0,1.3,11o,,5,0.2
2024-12-09,4.7,3.0,2.7,2.7,3.3,4.3,3.0,3.7,25-,D2*,16,0.9
2024-12-10,2.0,2.7,2.7,2.0,1.0,1.0,1.7,2.3,14-,,6,0.3
2024-12-11,2.0,2.0,2.0,1.3,1.0,1.0,1.3,1.7,11-,,5,0.2
2024-12-12,2.7,2.0,1.3,1.3,1.3,1.0,1.7,0.7,9o,Q9,4,0.2
2024-12-13,0.0,0.0,1.7,1.0,1.0,2.3,1.3,1.3,6+,Q4,3,0.1
2024-12-14,1.3,1.0,1.0,2.0,1.7,3.0,3.7,3.3,15o,,8,0.5
2024-12-15,3.0,2.7,2.3,3.3,3.0,2.0,3.3,2.7,20-,,11,0.6
2024-12-16,1.7,3.3,3.3,3.3,2.3,2.7,4.3,4.3,21-,,12,0.7
2024-12-17,4.3,5.7,5.0,4.7,3.7,4.0,2.0,3.0,31-,D1,28,1.2
2024-12-18,3.7,2.3,2.7,4.3,3.0,3.7,4.3,1.0,22o,D4*,14,0.8
2024-12-19,4.3,3.0,2.3,1.7,2.0,1.7,2.0,3.0,18o,,10,0.6
2024-12-20,4.3,3.0,1.0,1.7,3.0,3.0,3.7,2.0,20+,D5*,13,0.7
2024-12-21,3.0,3.7,2.0,3.0,3.3,3.3,3.7,3.7,23+,D3*,14,0.8
2024-12-22,1.7,2.7,2.7,3.0,3.7,3.0,3.3,3.0,21o,,12,0.7
2024-12-23,3.7,2.0,2.3,1.0,2.7,3.0,3.3,4.3,20-,,12,0.7
2024-12-24,2.7,3.3,2.3,1.3,2.7,2.7,2.0,3.7,17+,,9,0.5
2024-12-25,2.0,2.0,2.3,2.3,1.0,1.0,1.3,0.7,10+,Q0,5,0.2
2024-12-26,0.0,0.0,0.7,0.7,0.7,0.7,0.0,0.7,2-,Q1,1,0.0
2024-12-27,0.7,0.0,0.7,0.7,1.3,1.7,1.0,0.7,4+,Q2,2,0.0
2024-12-28,1.3,0.0,1.0,1.7,0.7,1.3,1.7,0.7,6-,Q3,3,0.1
2024-12-29,1.7,0.7,1.0,2.3,1.7,1.7,1.3,1.3,8+,Q5,4,0.1
2024-12-30,0.7,2.3,2.7,1.7,2.3,1.7,2.0,2.0,13-,,6,0.3
2024-12-31,0.7,1.3,2.3,1.7,1.7,4.0,4.0,4.0,17+,,13,0.7
